agent_id,n_obs,pw_i_vi_coef,pw_i_vi_pval,pw_i_ci_hat_coef,pw_i_ci_hat_pval,pw_i_T_zi_coef,pw_i_T_zi_pval,pw_i_zr_coef,pw_i_zr_pval,pw_i_P_coef,pw_i_P_pval,pw_i_si_coef,pw_i_si_pval,pw_i_r_coef,pw_i_r_pval,pc_i_vi_coef,pc_i_vi_pval,pc_i_ci_hat_coef,pc_i_ci_hat_pval,pc_i_T_zi_coef,pc_i_T_zi_pval,pc_i_zr_coef,pc_i_zr_pval,pc_i_P_coef,pc_i_P_pval,pc_i_si_coef,pc_i_si_pval,pc_i_r_coef,pc_i_r_pval
30,240,0.02788363407938641,1.3549417026477727e-05,0.017601297417459014,0.00023595202541538108,-1.463493438280217e-17,8.087071231731613e-12,1.5507016490973491e-19,0.007354181958844313,0.0323320831069282,4.67579814641335e-06,0.053701513189590704,8.255500303570353e-23,0.00020692684184230037,0.9750078346049542,-0.0033536969228069886,0.42621454776180967,0.008341210267102904,0.008884075952792751,1.7555083473535992e-17,4.8237338641700837e-29,1.8385372430286029e-19,3.1092895722788656e-06,0.01593577443928183,0.000676734050510398,-0.06223893043299844,4.4549478064964355e-49,-0.014903201742575943,0.0008875816260724652
31,240,0.040337287379596645,2.5338432441677294e-06,0.021254145124535297,0.0009873272578619185,1.7740610113833153e-17,9.888556844771089e-05,4.458344185888184e-18,7.127290803247577e-09,0.03685501360201673,0.00022399012255904882,0.04185111386611299,4.264362231515207e-09,-0.040347434835691226,1.1465976335845756e-05,0.013963766578866875,0.0022491198960849163,0.01021297386341388,0.0033344298959123633,-3.527572750862108e-18,0.14641695318314654,-4.21949165019208e-18,1.932770971642522e-21,-0.0020368064443050254,0.7018914598457051,-0.04462005433970982,2.7031623169736543e-26,-0.009823299645148541,0.04456728924441186
32,240,0.016435156953262108,0.09098055846585583,0.020794844362019255,0.0005162649578684497,1.0690696895715078e-16,1.9026098209110675e-11,1.9469890006504238e-17,2.6348418433548925e-13,0.034455334048501554,6.299444602175706e-05,0.06245525628547482,2.31808221156153e-14,-0.004346625346201411,0.6172048204527538,0.025810653117103066,3.9936947700297705e-06,0.011775848450292989,0.0004934196982358647,-3.19104201851225e-17,0.00023708122998777737,-7.763960354862036e-18,1.0786200493952142e-07,0.007938366534380173,0.09745942943383885,-0.04962724305201614,1.917906769546701e-24,-0.005117725415119728,0.29741613750171647
33,240,0.013515706042205748,0.09727306661516295,0.016714429795456724,0.0072552437468194255,2.2931203080414968e-17,0.2337358430497944,3.299786384283397e-17,0.04529479985964142,0.02519712966182057,0.009296769221254265,0.038507345119552484,2.9576618891086315e-08,-0.02792003780671861,0.0026968560148908152,0.0007497948482186783,0.8666477151938325,0.007013693437954803,0.03967569829122996,3.5460478786105733e-17,0.0009094522507458027,3.2042487543957636e-17,0.0004537601083095336,0.005805901736610226,0.27250841785686614,-0.03219138090968791,4.90657858339113e-16,-0.02516063319992165,1.2687045794340798e-06
34,240,0.02313423956016268,0.009530751905296352,0.01666086469424053,0.014700625146701321,-2.5485931487893788e-18,0.19094135323317912,-1.9029118691416468e-17,0.0008435837258488226,0.03101738016285627,0.00354943095771079,0.04111820444974446,9.851150344162737e-08,-0.017124598172358594,0.07048358686922883,-0.005312954204276309,0.29470450094775724,0.008582878019639131,0.027714331268354105,4.789365217093551e-19,0.6667221629552644,-2.192371772168588e-18,0.4961415188432784,-0.005066363435189067,0.4008207193321399,-0.04422403483021867,6.419288023340274e-21,0.00177289859076055,0.7423699168167577
35,240,0.008997690688189907,0.19513400196969827,0.03082550344134844,1.0371096613037647e-08,-3.1335606540093636e-17,0.11712692690835964,-1.0349111320488797e-17,0.005090224389281029,-0.02692585076586923,0.0007441002251197593,0.09483414808269647,1.0266127387797871e-43,0.014835254306424003,0.05126675883546458,-0.019130376584545118,0.0006577309676877125,0.001485997848286175,0.7208162972358281,-3.7478067433553054e-17,0.019536260604335855,-7.771886590673189e-18,0.00848272953706821,-0.004091575931962448,0.5168251910732371,-0.060507624433244644,4.587597955340899e-32,-0.030429208457619403,1.0068670008623168e-06
36,240,0.023386904868464217,0.00021178957450186767,0.010378130233474732,0.02516543222868953,1.3141266408547443e-17,0.3010008169356955,-3.448462143526276e-19,0.8735188763803127,0.03451684384616698,2.8351854087465536e-06,0.03477004989978685,1.0441145454687479e-10,-0.0002388181083285961,0.9717212527532454,-0.0003767533111874025,0.9255144917410933,0.004640295101233385,0.12124523175328857,-4.224064359951189e-17,5.706974532564879e-07,6.148497021708562e-18,1.7454675139750125e-05,0.00044286437807634297,0.9243506697937839,-0.05661865502253938,8.790214320660265e-43,-0.0038758109774798353,0.374904349332572
37,240,-0.0050531649601935815,0.5632550455868748,0.01590753969283417,0.012705943843418084,6.812831999942558e-17,4.352282402855099e-06,6.071508485204782e-17,2.762026327888944e-06,0.01560736408515866,0.11167497894456765,0.03953489709949963,2.3917735163627728e-08,-0.012478418525607982,0.18411581188106813,-0.012138611540903352,0.017094970508337064,0.010309264885714431,0.005354354829895471,-3.8761160554263096e-17,6.243344095028097e-06,-2.3918405395921406e-17,0.0012378367649285055,0.002312347765102151,0.6831839301503839,-0.05122587646273328,3.1745047802354434e-29,-0.019315491065051153,0.00044620446596464096
38,240,-0.004917932214497173,0.5027422030182382,0.027264358314951408,5.732494762616346e-07,9.669299097564707e-17,0.04650943160051516,-6.674128546043466e-17,0.06648747042741748,-0.02758724223521703,0.0009782487604912198,0.04085849423009242,1.589036263718828e-10,0.031626307408529085,3.1454771050734986e-05,-0.007764317615009082,0.12473782895176674,0.00803729864717587,0.028499257847884346,-1.9825615112616576e-17,0.5513442268261504,1.904757419661323e-17,0.4450256832797441,-0.014091752155866714,0.013852523256696322,-0.045537489447152975,1.7852676458161332e-22,-0.00046610828200294814,0.9275915969864673
39,240,0.03458105908168985,9.236570094765338e-06,0.022312856720903364,0.00014793832473428286,-1.5676559045221783e-17,0.0003456482253378539,2.5149069092624997e-18,0.06353669067138135,0.03493617597362003,0.00027652894982083034,0.06234765049628691,2.1176538060057912e-16,-0.038915595305396976,1.4074609495698635e-05,0.0030274620107790203,0.43383659591078294,0.007350941708040971,0.012741768832379548,2.326669819029281e-17,7.6858065029952995e-22,-9.257112847654789e-18,2.8289520443002157e-31,-0.007004431075764174,0.14505248307273166,-0.08413325245829482,7.997424155976832e-64,0.009254515023445644,0.03826380510249784
40,240,0.0208283020217402,0.0047377280007752775,0.018500702207929105,0.000707527761306871,-6.973114081164226e-18,0.8408617580360153,-9.085154347797937e-19,0.48556076115100044,0.009143331513881005,0.24848123100768682,0.03809033592924434,5.885118141097497e-11,0.0020943874227979057,0.7868075133623118,-0.0187982434940535,4.5036850169995486e-05,0.010086339656381896,0.002779214303680985,-1.3273498966824857e-16,2.790633532284509e-09,7.34998201708512e-18,3.3105171779596546e-17,-0.0048789806747767395,0.3195949540028116,-0.04427836397821173,4.227420830919285e-29,-0.0028506959611037924,0.5521267527320937
41,240,0.04491422669576469,2.8815963484432842e-11,0.01409549138021482,0.005293761491723093,-3.5309895652346746e-17,4.328337076366868e-06,-2.4028159878850247e-17,2.6068838639379505e-06,0.05259745867372088,1.5926640013929002e-08,0.046217824418396725,6.137927066662611e-12,-0.00805950042877534,0.30551934411215115,-0.0029182659999764174,0.53847057377662,0.00731303980243315,0.0486967212056779,5.96555112028225e-17,2.768109765127788e-22,4.0341562183636217e-17,7.022568310313682e-23,-0.025199824511352234,0.00017973746350056092,-0.05529955676332873,2.0674789086829595e-25,-0.006091476139624054,0.2933803208004286
42,240,0.03295987727493506,2.21519928173835e-05,0.011183575461297909,0.0539398816103443,-1.4572981790166518e-16,2.9462980440284784e-11,-4.393138803555879e-18,0.0007031384300303963,0.044453007401790444,1.6864526760680645e-06,0.037541819910215726,2.7470042784795852e-08,-0.025941066006493096,0.002159636051211135,0.0006882539316435188,0.8790385082254668,0.005196076601816256,0.13070982197894496,-1.0703555956891576e-17,0.3882394907259439,-4.448253013404726e-18,1.5658168089511247e-08,0.0061905467593947935,0.25011293173059734,-0.06395520600378271,3.9574422654713905e-41,-0.012364740113639307,0.013416492790221685
43,240,-0.012299561203946121,0.18286945156496162,0.022460048496810346,0.0006686528392744231,-1.6818657375083447e-17,0.0018563754889538164,-2.7319847970791868e-18,0.02323883221514379,0.036829249051786854,0.00035712794344594485,0.04001787797974612,5.809711998309712e-07,-0.04001756203984107,0.00010040325196602567,0.004471395082272633,0.3431356002500775,0.005174149773856608,0.12158697893821423,6.381526788156908e-19,0.8154703759046515,2.7296474985723706e-19,0.655690799947114,-0.008298551527648614,0.11167983444318147,-0.029737725836641363,1.5835472049350028e-12,-0.0020294699967779665,0.6949926398419679
